,last_name,first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
0,Kwan, Steven,680757,CLE,FF,4-Seamer,-0.4,-3,664,45.8,148,0.283,0.37,0.346,7.8,10.1,9.3,0.28,0.343,0.328,17.7
1,Trout, Mike,545361,LAA,FF,4-Seamer,0.3,2,703,48.9,143,0.211,0.421,0.355,28.2,28.7,19.2,0.254,0.523,0.407,54.1
2,Bregman, Alex,608324,HOU,FF,4-Seamer,0.9,4,428,33.0,140,0.239,0.385,0.334,9.3,7.1,10.4,0.275,0.445,0.368,36.1
3,Semien, Marcus,543760,TEX,FF,4-Seamer,-0.6,-3,461,33.0,128,0.221,0.389,0.32,10.5,9.4,10.7,0.267,0.457,0.351,48.0
4,Olson, Matt,621566,ATL,FF,4-Seamer,0.8,5,601,38.8,125,0.238,0.533,0.382,33.3,24.8,17.5,0.266,0.567,0.405,66.2
5,Crawford, J.P.,641487,SEA,FF,4-Seamer,1.2,6,498,39.7,124,0.294,0.431,0.395,10.3,12.9,11.8,0.304,0.45,0.388,39.1
6,Goldschmidt, Paul,502671,STL,FF,4-Seamer,-0.8,-4,485,34.3,124,0.226,0.387,0.332,24.1,21.8,17.3,0.274,0.492,0.379,62.0
7,Lowe, Nathaniel,663993,TEX,FF,4-Seamer,0.8,5,568,38.5,124,0.327,0.548,0.426,18.3,22.6,17.7,0.301,0.488,0.395,55.3
8,Yoshida, Masataka,807799,BOS,FF,4-Seamer,2.3,9,416,35.5,124,0.391,0.564,0.475,7.5,4.8,7.1,0.325,0.521,0.401,52.9
9,Straw, Myles,664702,CLE,FF,4-Seamer,-1.4,-7,495,45.6,122,0.243,0.28,0.289,15.4,21.3,19.3,0.258,0.32,0.308,33.3
10,Marte, Ketel,606466,AZ,FF,4-Seamer,1.9,7,377,31.2,121,0.3,0.49,0.397,10.6,11.6,14.4,0.294,0.457,0.379,37.5
11,Ward, Taylor,621493,LAA,FF,4-Seamer,-0.6,-3,445,35.8,121,0.239,0.44,0.332,19.5,20.7,17.5,0.254,0.518,0.362,51.2
12,Noda, Ryan,676116,OAK,FF,4-Seamer,0.9,5,518,42.8,119,0.28,0.419,0.395,36.5,38.7,28.2,0.203,0.377,0.351,44.7
13,Nimmo, Brandon,607043,NYM,FF,4-Seamer,1.4,8,557,39.3,118,0.306,0.5,0.406,22.0,23.7,16.4,0.29,0.492,0.396,55.7
14,Witt Jr., Bobby,677951,KC,FF,4-Seamer,-2.0,-9,454,35.8,116,0.206,0.353,0.288,23.4,25.9,21.7,0.254,0.461,0.347,49.3
15,Rutschman, Adley,668939,BAL,FF,4-Seamer,1.1,6,514,36.3,116,0.302,0.49,0.396,10.0,10.3,9.3,0.282,0.485,0.386,47.1
16,Suárez, Eugenio,553993,SEA,FF,4-Seamer,0.8,3,449,32.3,115,0.232,0.4,0.346,29.5,21.7,17.1,0.279,0.688,0.452,56.3
